S1,422140,IMCIZO,
S2,422086,IMMSGM,
S3,422189,IMDVNK,
S4,422172,IMPLFS,
S5,422199,IMEKIA,
S6,422091,IMKVKI,
S7,422114,IMXKII,
S8,422095,IMHPCY,
S9,422124,IMXZCY,
S10,422191,IMKWWU,
S11,422112,IMMAMA,
S12,422131,IMHMDC,
S13,422104,IMWVNS,
S14,422138,IMVHQE,
S15,422158,IMWLFK,
S16,422157,IMQTHG,
S17,422195,IMHQPK,
S18,422099,IMEIVO,
S19,422196,IMNINO,
S20,422136,IMJXTW,
S21,422088,IMYCCU,
S22,422097,IMSYZG,
S23,422156,IMLBJC,
S24,422119,IMZVZC,
S25,422110,IMAQPS,
S26,422193,IMWGTC,
S27,422155,IMFJKY,
S28,422161,IMJEMY,
S29,422177,IMRWWM,
S30,422101,IMFTTG,
S31,422105,IMCNLW,
S32,422163,IMUOJG,
S33,422127,IMPAXK,
S34,422093,IMWFGQ,
S35,422169,IMCRYE,
S36,422121,IMGXIM,
S37,422120,IMBFKI,
S38,422174,IMAVCA,
S39,422116,IMIUEQ,
S40,422153,IMTZOQ,
S41,422179,IMDGSU,
S42,422107,IMNXIE,
S43,422134,IMYNXO,
S44,422109,IMZHEM,
S45,422182,IMQAAI,
S46,422187,IMSLRC,
S47,422122,IMMPGQ,
S48,422150,IMCXUE,
S49,422126,IMJIZG,
S50,422125,IMDRBC,
